bank_txn_id,utr,amount,type,value_date,narration,account_number
bnktxn_6YGTEIugZ0MoUw,SBIN46553585125389,6793153,credit,2026-07-02,NEFT CR RAZORPAYX SETTLEMENT SBIN46553585125389,XXXXXXXX4821
bnktxn_rKq85UbTMFBTW8,UTIB96120878057215,3129317,credit,2026-07-03,NEFT CR RAZORPAYX SETTLEMENT UTIB96120878057215,XXXXXXXX4821
bnktxn_2p7yJUvlIPmaRB,SBIN88608490793884,467761,credit,2026-07-03,NEFT CR RAZORPAYX SETTLEMENT SBIN88608490793884,XXXXXXXX4821
bnktxn_kUmpMXWl1lbP7F,KKBK62895090591191,4498039,credit,2026-07-04,NEFT CR RAZORPAYX SETTLEMENT KKBK62895090591191,XXXXXXXX4821
bnktxn_wPOfvCWgHqb4Md,UTIB72521452647124,3822633,credit,2026-07-05,NEFT CR RAZORPAYX SETTLEMENT UTIB72521452647124,XXXXXXXX4821
bnktxn_SEZCw8GtsPT0zA,ICIC17942817934065,412735,credit,2026-07-05,NEFT CR RAZORPAYX SETTLEMENT ICIC17942817934065 TDS DEDUCTED,XXXXXXXX4821
bnktxn_l5CT24XlGj00Cb,HDFC99512397283512,9962893,credit,2026-07-06,NEFT CR RAZORPAYX SETTLEMENT HDFC99512397283512,XXXXXXXX4821
bnktxn_8hQJevpxjp90Fm,HDFC52982173929578,4701738,credit,2026-07-07,NEFT CR RAZORPAYX SETTLEMENT HDFC52982173929578,XXXXXXXX4821
bnktxn_ms8OBzByfFbFgu,KKBK18158998868345,1655011,credit,2026-07-08,NEFT CR RAZORPAYX SETTLEMENT KKBK18158998868345,XXXXXXXX4821
bnktxn_vgcLfcNa07mYk5,ICIC00720245591024,160340,credit,2026-07-08,NEFT CR RAZORPAYX SETTLEMENT ICIC00720245591024,XXXXXXXX4821
bnktxn_fwYfwlyZmI8qUb,SBIN48811210314217,-24413,credit,2026-07-09,NEFT CR RAZORPAYX SETTLEMENT SBIN48811210314217,XXXXXXXX4821
bnktxn_Id00R3BVGH2lGx,HDFC31499825080046,1366944,credit,2026-07-09,NEFT CR RAZORPAYX SETTLEMENT HDFC31499825080046,XXXXXXXX4821
bnktxn_0ox61zcjjMpNQq,PUNB37399006314035,9526762,credit,2026-07-10,NEFT CR RAZORPAYX SETTLEMENT PUNB37399006314035,XXXXXXXX4821
bnktxn_TEBAh7PQ8QJULt,HDFC10912172214559,790315,credit,2026-07-10,NEFT CR RAZORPAYX SETTLEMENT HDFC10912172214559,XXXXXXXX4821
bnktxn_0FDQ9zYT3uCi0u,PUNB37052635100462,790315,credit,2026-07-10,NEFT CR RAZORPAYX SETTLEMENT HDFC10912172214559 DUP,XXXXXXXX4821
bnktxn_SoeOhhk5YFelIu,PUNB46066643749060,1322462,credit,2026-07-11,NEFT CR RAZORPAYX SETTLEMENT PUNB46066643749060,XXXXXXXX4821
bnktxn_c1ylfWSZepBNxC,KKBK41163187328077,364147,credit,2026-07-12,NEFT CR RAZORPAYX SETTLEMENT KKBK41163187328077,XXXXXXXX4821
bnktxn_olOmvQUCb3Ce1p,SBIN09025425730662,7485420,credit,2026-07-13,NEFT CR RAZORPAYX SETTLEMENT SBIN09025425730662,XXXXXXXX4821
