payment_id,order_id,merchant_id,amount,currency,method,status,fee,tax,net_amount,created_at,captured_at,settlement_id,notes
pay_BkDa9U4UqGWlG6,order_g3Ot1OGMmjxWkI,acc_ACMERT0001,4852440,INR,wallet,captured,84918,15285,4752237,2026-06-30 07:38:20,2026-06-30 07:38:28,setl_Al2HLzOK45yVqT,
pay_SBvrjn9Wvgfygw,order_2wMqZcUDIh7yfJ,acc_ACMERT0001,144800,INR,card,captured,2896,521,141383,2026-06-30 13:45:04,2026-06-30 13:45:19,setl_Al2HLzOK45yVqT,
pay_7x41Ztpdp4K8ff,order_UF0eWIXiiQE8Jk,acc_ACMERT0001,643692,INR,card,captured,12874,2317,628501,2026-06-30 13:59:34,2026-06-30 13:59:47,setl_Al2HLzOK45yVqT,
pay_Ru1XXdo0cZuzre,order_n68K4TunPFz46P,acc_ACMERT0001,26162,INR,upi,captured,0,0,26162,2026-06-30 15:47:37,2026-06-30 15:48:15,setl_Al2HLzOK45yVqT,
pay_zxoiGFfWd3hjOk,order_YRBMeyyMDHqJ38,acc_ACMERT0001,914825,INR,card,captured,18296,3293,893236,2026-06-30 15:49:41,2026-06-30 15:50:00,setl_Al2HLzOK45yVqT,
pay_bVrpoiVgRV5IfL,order_BcbfnoGMbJmTPS,acc_ACMERT0001,48618,INR,upi,captured,0,0,48618,2026-06-30 15:51:55,2026-06-30 15:52:06,setl_Al2HLzOK45yVqT,
pay_Xsf2o3gyrDO1xk,order_xwnQrS7RPeMOkI,acc_ACMERT0001,34867,INR,upi,captured,0,0,34867,2026-06-30 15:59:40,2026-06-30 15:59:55,setl_Al2HLzOK45yVqT,
pay_TtzQPxC5HChpoe,order_vbLJoLoaeTOdoe,acc_ACMERT0001,274299,INR,netbanking,captured,5212,938,268149,2026-06-30 23:15:17,2026-06-30 23:15:31,setl_Al2HLzOK45yVqT,
pay_6vNuQ2hU5tGtQA,order_uzSsJimAQ8yRV5,acc_ACMERT0001,156450,INR,card,captured,3129,563,152758,2026-07-01 07:19:18,2026-07-01 07:19:56,setl_TSPJ0oDrK1dDNC,
pay_7eaDNKgeInGqi7,order_w4e4pxskC1ITtN,acc_ACMERT0001,754634,INR,wallet,captured,13206,2377,739051,2026-07-01 07:42:52,2026-07-01 07:42:59,setl_TSPJ0oDrK1dDNC,
pay_84iqh4gVJjrsMn,order_TvnRO2qGFq562d,acc_ACMERT0001,122530,INR,card,captured,2451,441,119638,2026-07-01 08:00:21,2026-07-01 08:00:38,setl_TSPJ0oDrK1dDNC,
pay_MPuDCCRnGEY59Y,order_VkQfsGQONvf08W,acc_ACMERT0001,23050,INR,card,captured,461,83,22506,2026-07-01 11:01:02,2026-07-01 11:01:33,setl_TSPJ0oDrK1dDNC,
pay_q7YYDsBS9UYJQT,order_Fjmsn9dLVIdVud,acc_ACMERT0001,189231,INR,card,captured,3785,681,184765,2026-07-01 12:03:32,2026-07-01 12:03:44,setl_TSPJ0oDrK1dDNC,
pay_BlrDp37eCZ32Jg,order_dPI1af7W2pkAFE,acc_ACMERT0001,65370,INR,card,failed,0,0,0,2026-07-01 12:24:00,,,
pay_iU74KKEpYEZAmg,order_gQBwBAD3UdRPPg,acc_ACMERT0001,314576,INR,card,captured,6292,1133,307151,2026-07-01 14:12:12,2026-07-01 14:12:21,setl_TSPJ0oDrK1dDNC,
pay_wXJ43ANVj77p3k,order_ZZl4AblV7vY7AZ,acc_ACMERT0001,460222,INR,upi,captured,0,0,460222,2026-07-01 15:10:50,2026-07-01 15:11:15,setl_TSPJ0oDrK1dDNC,
pay_eMeR3pzh84KpLM,order_cNfAQLKHu7qnQT,acc_ACMERT0001,18577,INR,card,failed,0,0,0,2026-07-01 16:29:20,,,
pay_3c2Eom06Dwt0Y3,order_oobQmzvr3e9Xrw,acc_ACMERT0001,190565,INR,upi,failed,0,0,0,2026-07-01 17:01:07,,,
pay_kVCJTBJahe84S5,order_jIc1xLJjBictx5,acc_ACMERT0001,1167331,INR,wallet,captured,20428,3677,1143226,2026-07-01 18:13:43,2026-07-01 18:13:50,setl_TSPJ0oDrK1dDNC,
