settlement_id,settlement_utr,merchant_id,amount,status,type,payment_count,created_at,settled_at
setl_Al2HLzOK45yVqT,SBIN46553585125389,acc_ACMERT0001,6793153,processed,regular,8,2026-06-30 23:00:00,2026-07-02 11:00:00
setl_TSPJ0oDrK1dDNC,UTIB96120878057215,acc_ACMERT0001,3129317,processed,regular,8,2026-07-01 23:00:00,2026-07-03 10:00:00
setl_oco80CpzaBd9eZ,SBIN88608490793884,acc_ACMERT0001,467761,processed,on_demand,3,2026-07-01 23:00:00,2026-07-03 10:00:00
setl_iznQCtISRtvoKZ,KKBK62895090591191,acc_ACMERT0001,4498039,processed,regular,7,2026-07-02 23:00:00,2026-07-04 17:00:00
setl_Uhvfg8zKS8RyZA,UTIB72521452647124,acc_ACMERT0001,3822633,processed,regular,5,2026-07-03 23:00:00,2026-07-05 15:00:00
setl_z0FgrLsN1He1Ns,ICIC17942817934065,acc_ACMERT0001,421158,processed,on_demand,3,2026-07-03 23:00:00,2026-07-05 11:00:00
setl_JdRxgka9Haauyt,HDFC99512397283512,acc_ACMERT0001,9962893,processed,regular,9,2026-07-04 23:00:00,2026-07-06 18:00:00
setl_Nc7I49Y8hZ7t7s,HDFC52982173929578,acc_ACMERT0001,4701738,processed,regular,7,2026-07-05 23:00:00,2026-07-07 15:00:00
setl_Yzcwd66EZ16QTW,KKBK18158998868345,acc_ACMERT0001,1655011,processed,regular,10,2026-07-06 23:00:00,2026-07-08 11:00:00
setl_YVajIBF5f7YZSP,ICIC00720245591024,acc_ACMERT0001,160340,processed,on_demand,1,2026-07-06 23:00:00,2026-07-08 12:00:00
setl_QsQqAk5BnUkxgW,SBIN48811210314217,acc_ACMERT0001,-24413,processed,on_demand,2,2026-07-07 23:00:00,2026-07-09 14:00:00
setl_JENytFYXsXRSdH,HDFC31499825080046,acc_ACMERT0001,1366944,processed,regular,5,2026-07-07 23:00:00,2026-07-09 12:00:00
setl_Z7pY2tQunpDjTj,HDFC10912172214559,acc_ACMERT0001,790315,processed,on_demand,2,2026-07-08 23:00:00,2026-07-10 12:00:00
setl_RSc6ngD8l5oTue,PUNB37399006314035,acc_ACMERT0001,9526762,processed,regular,9,2026-07-08 23:00:00,2026-07-10 11:00:00
setl_47BRKT35Otn84P,PUNB46066643749060,acc_ACMERT0001,1322462,processed,regular,7,2026-07-09 23:00:00,2026-07-11 16:00:00
setl_k8Vq9RT7SzsIss,KKBK41163187328077,acc_ACMERT0001,364147,processed,regular,6,2026-07-10 23:00:00,2026-07-12 10:00:00
setl_VjCMXcQ7GXmXnU,SBIN09025425730662,acc_ACMERT0001,7485420,processed,regular,11,2026-07-11 23:00:00,2026-07-13 13:00:00
setl_MHsJkjJ9udhReA,KKBK80925502130609,acc_ACMERT0001,4708826,processed,regular,10,2026-07-12 23:00:00,2026-07-14 09:00:00
setl_6E7KPysRNyC6Vp,PUNB79457727853242,acc_ACMERT0001,7258734,processed,regular,7,2026-07-13 23:00:00,2026-07-15 15:00:00
setl_I2ozi1Own8zA4A,UTIB77675556283333,acc_ACMERT0001,2377280,processed,regular,9,2026-07-14 23:00:00,2026-07-16 18:00:00
setl_V9TBQu96WK3Sla,ICIC46175202389743,acc_ACMERT0001,73154,processed,on_demand,2,2026-07-14 23:00:00,2026-07-16 11:00:00
setl_PtnzjEgIPCt519,KKBK60335826862703,acc_ACMERT0001,1514979,processed,regular,8,2026-07-15 23:00:00,2026-07-17 15:00:00
setl_AuDp3ViW7FuN7W,KKBK80111000515532,acc_ACMERT0001,2438285,processed,regular,7,2026-07-16 23:00:00,2026-07-18 12:00:00
setl_tgZJk54jkAhI6N,UTIB28874312710267,acc_ACMERT0001,1418173,processed,regular,6,2026-07-17 23:00:00,2026-07-19 15:00:00
setl_F8QKw4vf4xeliN,SBIN62135415970996,acc_ACMERT0001,1784734,processed,regular,7,2026-07-18 23:00:00,2026-07-20 11:00:00
setl_AcXaOxTvZNxvag,UTIB83325848689993,acc_ACMERT0001,536643,processed,on_demand,2,2026-07-19 23:00:00,2026-07-21 15:00:00
setl_pStqCBvcrVWQDQ,HDFC58029090463766,acc_ACMERT0001,1009454,processed,regular,10,2026-07-19 23:00:00,2026-07-21 09:00:00
setl_8wUqJmFsrf6C6Q,HDFC58102131251293,acc_ACMERT0001,435512,processed,regular,6,2026-07-20 23:00:00,2026-07-22 10:00:00
setl_mWbnBXOWjC3LYW,PUNB24632037476775,acc_ACMERT0001,64435,processed,on_demand,1,2026-07-21 23:00:00,2026-07-23 12:00:00
setl_DO3vYQgNhdTim6,PUNB12110633016583,acc_ACMERT0001,1683368,processed,regular,8,2026-07-21 23:00:00,2026-07-23 16:00:00
setl_lGaflmqj4IKmSh,PUNB13253269496843,acc_ACMERT0001,790513,processed,regular,6,2026-07-22 23:00:00,2026-07-24 15:00:00
