settlement_id,settlement_utr,status,type,settlement_amount,expected_settlement_amount,bank_credited_amount,bank_vs_expected_diff,classification,reconciliation_reason,action_required,timing_delay_days,settled_payment_count,gross_payment_amount,payment_fee,payment_tax,net_payment_amount,pre_settle_refund_amount,pre_settle_refund_count,pre_settle_refund_ids,adjustment_amount,adjustment_count,adjustment_types,adjustment_ids,bank_txn_count,bank_txn_ids,bank_value_dates,bank_narrations,created_at,settled_at
setl_Al2HLzOK45yVqT,SBIN46553585125389,processed,regular,6793153,6793153,6793153,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,8,6939703,124196,22354,6793153,0,0,,0,0,,,1,bnktxn_6YGTEIugZ0MoUw,2026-07-02,NEFT CR RAZORPAYX SETTLEMENT SBIN46553585125389,2026-06-30 23:00:00,2026-07-02 11:00:00
setl_TSPJ0oDrK1dDNC,UTIB96120878057215,processed,regular,3129317,3129317,3129317,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,8,3188024,49752,8955,3129317,0,0,,0,0,,,1,bnktxn_rKq85UbTMFBTW8,2026-07-03,NEFT CR RAZORPAYX SETTLEMENT UTIB96120878057215,2026-07-01 23:00:00,2026-07-03 10:00:00
setl_oco80CpzaBd9eZ,SBIN88608490793884,processed,on_demand,467761,467761,467761,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,3,474140,5406,973,467761,0,0,,0,0,,,1,bnktxn_2p7yJUvlIPmaRB,2026-07-03,NEFT CR RAZORPAYX SETTLEMENT SBIN88608490793884,2026-07-01 23:00:00,2026-07-03 10:00:00
setl_iznQCtISRtvoKZ,KKBK62895090591191,processed,regular,4498039,4498039,4498039,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,7,4576803,66749,12015,4498039,0,0,,0,0,,,1,bnktxn_kUmpMXWl1lbP7F,2026-07-04,NEFT CR RAZORPAYX SETTLEMENT KKBK62895090591191,2026-07-02 23:00:00,2026-07-04 17:00:00
setl_Uhvfg8zKS8RyZA,UTIB72521452647124,processed,regular,3822633,3822633,3822633,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,5,3913613,77102,13878,3822633,0,0,,0,0,,,1,bnktxn_wPOfvCWgHqb4Md,2026-07-05,NEFT CR RAZORPAYX SETTLEMENT UTIB72521452647124,2026-07-03 23:00:00,2026-07-05 15:00:00
setl_z0FgrLsN1He1Ns,ICIC17942817934065,processed,on_demand,421158,421158,412735,-8423,UNRESOLVED,Bank TDS deduction shortfall of INR 84.23 without corresponding internal adjustment record,Tax/Finance: Post TDS adjustment entry to clear bank variance,0,3,428515,6235,1122,421158,0,0,,0,0,,,1,bnktxn_SEZCw8GtsPT0zA,2026-07-05,NEFT CR RAZORPAYX SETTLEMENT ICIC17942817934065 TDS DEDUCTED,2026-07-03 23:00:00,2026-07-05 11:00:00
setl_JdRxgka9Haauyt,HDFC99512397283512,processed,regular,9962893,9962893,9962893,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,9,10169050,174709,31448,9962893,0,0,,0,0,,,1,bnktxn_l5CT24XlGj00Cb,2026-07-06,NEFT CR RAZORPAYX SETTLEMENT HDFC99512397283512,2026-07-04 23:00:00,2026-07-06 18:00:00
setl_Nc7I49Y8hZ7t7s,HDFC52982173929578,processed,regular,4701738,4701738,4701738,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,7,4810076,91811,16527,4701738,0,0,,0,0,,,1,bnktxn_8hQJevpxjp90Fm,2026-07-07,NEFT CR RAZORPAYX SETTLEMENT HDFC52982173929578,2026-07-05 23:00:00,2026-07-07 15:00:00
setl_Yzcwd66EZ16QTW,KKBK18158998868345,processed,regular,1655011,1655011,1655011,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,10,1688406,28302,5093,1655011,0,0,,0,0,,,1,bnktxn_ms8OBzByfFbFgu,2026-07-08,NEFT CR RAZORPAYX SETTLEMENT KKBK18158998868345,2026-07-06 23:00:00,2026-07-08 11:00:00
setl_YVajIBF5f7YZSP,ICIC00720245591024,processed,on_demand,160340,160340,160340,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,1,164017,3116,561,160340,0,0,,0,0,,,1,bnktxn_vgcLfcNa07mYk5,2026-07-08,NEFT CR RAZORPAYX SETTLEMENT ICIC00720245591024,2026-07-06 23:00:00,2026-07-08 12:00:00
setl_QsQqAk5BnUkxgW,SBIN48811210314217,processed,on_demand,-24413,-24413,-24413,0,MATCH,"Financial records fully reconciled [adjustment INR -2,332.87 (refund_deduction)]",None (Fully Reconciled),0,2,213278,3732,672,208874,0,0,,-233287,1,refund_deduction,adj_hGX1XIDGhEQNrY,1,bnktxn_fwYfwlyZmI8qUb,2026-07-09,NEFT CR RAZORPAYX SETTLEMENT SBIN48811210314217,2026-07-07 23:00:00,2026-07-09 14:00:00
setl_JENytFYXsXRSdH,HDFC31499825080046,processed,regular,1366944,1366944,1366944,0,MATCH,"Financial records fully reconciled [refund deduction INR 5,909.21]",None (Fully Reconciled),0,5,1984105,22238,4002,1957865,590921,1,rfnd_4TS3YFWsoHgfUM,0,0,,,1,bnktxn_Id00R3BVGH2lGx,2026-07-09,NEFT CR RAZORPAYX SETTLEMENT HDFC31499825080046,2026-07-07 23:00:00,2026-07-09 12:00:00
setl_Z7pY2tQunpDjTj,HDFC10912172214559,processed,on_demand,790315,790315,1580630,790315,UNRESOLVED,"Duplicate bank credit: 2 bank credits received totaling INR 15,806.30 (expected INR 7,903.15, excess credit of INR 7,903.15)",Treasury: Initiate bank clawback/reversal for duplicate settlement credit,0,2,808458,15376,2767,790315,0,0,,0,0,,,2,bnktxn_TEBAh7PQ8QJULt;bnktxn_0FDQ9zYT3uCi0u,2026-07-10;2026-07-10,NEFT CR RAZORPAYX SETTLEMENT HDFC10912172214559 | NEFT CR RAZORPAYX SETTLEMENT HDFC10912172214559 DUP,2026-07-08 23:00:00,2026-07-10 12:00:00
setl_RSc6ngD8l5oTue,PUNB37399006314035,processed,regular,9526762,9526762,9526762,0,MATCH,"Financial records fully reconciled [refund deduction INR 12,854.32]",None (Fully Reconciled),0,9,10991535,151984,27357,10812194,1285432,1,rfnd_gX0TFJM1KyMH37,0,0,,,1,bnktxn_0ox61zcjjMpNQq,2026-07-10,NEFT CR RAZORPAYX SETTLEMENT PUNB37399006314035,2026-07-08 23:00:00,2026-07-10 11:00:00
setl_47BRKT35Otn84P,PUNB46066643749060,processed,regular,1322462,1322462,1322462,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,7,1335109,10718,1929,1322462,0,0,,0,0,,,1,bnktxn_SoeOhhk5YFelIu,2026-07-11,NEFT CR RAZORPAYX SETTLEMENT PUNB46066643749060,2026-07-09 23:00:00,2026-07-11 16:00:00
setl_k8Vq9RT7SzsIss,KKBK41163187328077,processed,regular,364147,364147,364147,0,MATCH,Financial records fully reconciled [refund deduction INR 913.81],None (Fully Reconciled),0,6,458507,2525,454,455528,91381,1,rfnd_zTVcwPYC2DK3Hc,0,0,,,1,bnktxn_c1ylfWSZepBNxC,2026-07-12,NEFT CR RAZORPAYX SETTLEMENT KKBK41163187328077,2026-07-10 23:00:00,2026-07-12 10:00:00
setl_VjCMXcQ7GXmXnU,SBIN09025425730662,processed,regular,7485420,7485420,7485420,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,11,7642147,132819,23908,7485420,0,0,,0,0,,,1,bnktxn_olOmvQUCb3Ce1p,2026-07-13,NEFT CR RAZORPAYX SETTLEMENT SBIN09025425730662,2026-07-11 23:00:00,2026-07-13 13:00:00
setl_MHsJkjJ9udhReA,KKBK80925502130609,processed,regular,4708826,4708826,4708826,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,10,4768665,50711,9128,4708826,0,0,,0,0,,,1,bnktxn_XKh2oWOcKIebP0,2026-07-14,NEFT CR RAZORPAYX SETTLEMENT KKBK80925502130609,2026-07-12 23:00:00,2026-07-14 09:00:00
setl_6E7KPysRNyC6Vp,PUNB79457727853242,processed,regular,7258734,7258734,7258734,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,7,7281384,19194,3456,7258734,0,0,,0,0,,,1,bnktxn_4kxVbBZtjcDAT4,2026-07-15,NEFT CR RAZORPAYX SETTLEMENT PUNB79457727853242,2026-07-13 23:00:00,2026-07-15 15:00:00
setl_I2ozi1Own8zA4A,UTIB77675556283333,processed,regular,2377280,2377280,2377280,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,9,2411921,29356,5285,2377280,0,0,,0,0,,,1,bnktxn_3UQYNx5DJ3WYAx,2026-07-16,NEFT CR RAZORPAYX SETTLEMENT UTIB77675556283333,2026-07-14 23:00:00,2026-07-16 18:00:00
setl_V9TBQu96WK3Sla,ICIC46175202389743,processed,on_demand,73154,73154,0,-73154,UNRESOLVED,Missing bank transaction: processed settlement of INR 731.54 not credited in bank,Bank Ops: Contact bank partner with settlement UTR to trace missing credit,0,2,74293,965,174,73154,0,0,,0,0,,,0,,,,2026-07-14 23:00:00,2026-07-16 11:00:00
setl_PtnzjEgIPCt519,KKBK60335826862703,processed,regular,1514979,1514979,1514979,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,8,1519899,4169,751,1514979,0,0,,0,0,,,1,bnktxn_lrVRKXjPzKYZmj,2026-07-17,NEFT CR RAZORPAYX SETTLEMENT KKBK60335826862703,2026-07-15 23:00:00,2026-07-17 15:00:00
setl_AuDp3ViW7FuN7W,KKBK80111000515532,processed,regular,2438285,2438285,2438285,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,7,2485490,40004,7201,2438285,0,0,,0,0,,,1,bnktxn_exN6uL51CEvTls,2026-07-18,NEFT CR RAZORPAYX SETTLEMENT KKBK80111000515532,2026-07-16 23:00:00,2026-07-18 12:00:00
setl_tgZJk54jkAhI6N,UTIB28874312710267,processed,regular,1418173,1418173,1418173,0,MATCH,Financial records fully reconciled [refund deduction INR 323.13],None (Fully Reconciled),0,6,1454263,3201,576,1450486,32313,1,rfnd_5qw0Rww9prCYdu,0,0,,,1,bnktxn_XbLS0x7CLKlC5b,2026-07-19,NEFT CR RAZORPAYX SETTLEMENT UTIB28874312710267,2026-07-17 23:00:00,2026-07-19 15:00:00
setl_F8QKw4vf4xeliN,SBIN62135415970996,processed,regular,1784734,1784734,1784734,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,7,1823395,32764,5897,1784734,0,0,,0,0,,,1,bnktxn_qmGrH56bFu5kdP,2026-07-20,NEFT CR RAZORPAYX SETTLEMENT SBIN62135415970996,2026-07-18 23:00:00,2026-07-20 11:00:00
setl_AcXaOxTvZNxvag,UTIB83325848689993,processed,on_demand,536643,536643,536292,-351,UNRESOLVED,"Bank amount discrepancy: expected INR 5,366.43, received INR 5,362.92 (variance: INR -3.51)",Audit: Investigate bank debit/credit variance with partner bank,0,2,536643,0,0,536643,0,0,,0,0,,,1,bnktxn_D9ULJsIWDcsvbA,2026-07-21,NEFT CR RAZORPAYX SETTLEMENT UTIB83325848689993,2026-07-19 23:00:00,2026-07-21 15:00:00
setl_pStqCBvcrVWQDQ,HDFC58029090463766,processed,regular,1009454,1009454,1009454,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,10,1019148,8216,1478,1009454,0,0,,0,0,,,1,bnktxn_rSyvxZG2YBATvi,2026-07-21,NEFT CR RAZORPAYX SETTLEMENT HDFC58029090463766,2026-07-19 23:00:00,2026-07-21 09:00:00
setl_8wUqJmFsrf6C6Q,HDFC58102131251293,processed,regular,435512,435512,435512,0,MATCH,Financial records fully reconciled [1d timing difference],None (Fully Reconciled),1,6,441930,5438,980,435512,0,0,,0,0,,,1,bnktxn_UaVZv36NejLO93,2026-07-23,NEFT CR RAZORPAYX SETTLEMENT HDFC58102131251293,2026-07-20 23:00:00,2026-07-22 10:00:00
setl_mWbnBXOWjC3LYW,PUNB24632037476775,processed,on_demand,64435,64435,64435,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,1,65912,1252,225,64435,0,0,,0,0,,,1,bnktxn_4nDiA9dp8j5O7g,2026-07-23,NEFT CR RAZORPAYX SETTLEMENT PUNB24632037476775,2026-07-21 23:00:00,2026-07-23 12:00:00
setl_DO3vYQgNhdTim6,PUNB12110633016583,processed,regular,1683368,1683368,1683368,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,8,1711609,23933,4308,1683368,0,0,,0,0,,,1,bnktxn_TFMTlEsURL33dC,2026-07-23,NEFT CR RAZORPAYX SETTLEMENT PUNB12110633016583,2026-07-21 23:00:00,2026-07-23 16:00:00
setl_lGaflmqj4IKmSh,PUNB13253269496843,processed,regular,790513,790513,790513,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,6,796529,5098,918,790513,0,0,,0,0,,,1,bnktxn_wVpHaP49RqsWke,2026-07-24,NEFT CR RAZORPAYX SETTLEMENT PUNB13253269496843,2026-07-22 23:00:00,2026-07-24 15:00:00
setl_deFw5UdNW0BfRW,PUNB70159591945757,processed,regular,2839273,2839273,2839273,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,8,2862805,19942,3590,2839273,0,0,,0,0,,,1,bnktxn_WFuIVmoLkcSwAD,2026-07-25,NEFT CR RAZORPAYX SETTLEMENT PUNB70159591945757,2026-07-23 23:00:00,2026-07-25 14:00:00
setl_4Du7Y28zD35DCj,ICIC66025626506229,processed,regular,1647136,1647136,1647136,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,8,1670126,19482,3508,1647136,0,0,,0,0,,,1,bnktxn_bzEjrvmbFzkt19,2026-07-26,NEFT CR RAZORPAYX SETTLEMENT ICIC66025626506229,2026-07-24 23:00:00,2026-07-26 11:00:00
setl_LO9YeE14A7D64M,KKBK35937440394640,failed,on_demand,709624,709624,0,-709624,EXPLAINED,"Settlement failed at gateway, explains zero bank payout",None (Expected zero payout due to settlement failure),0,2,726775,14535,2616,709624,0,0,,0,0,,,0,,,,2026-07-24 23:00:00,2026-07-26 17:00:00
setl_2JromFMUFBB82k,UTIB05115794238736,processed,regular,1440855,1440855,1440855,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,9,1457996,14527,2614,1440855,0,0,,0,0,,,1,bnktxn_tOkvOtRNBNhMiH,2026-07-27,NEFT CR RAZORPAYX SETTLEMENT UTIB05115794238736,2026-07-25 23:00:00,2026-07-27 16:00:00
setl_svUxZS3ixKEebC,SBIN63353574859532,processed,regular,3448096,3448096,3448096,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,12,3506578,49561,8921,3448096,0,0,,0,0,,,1,bnktxn_K6oTLNp00pFKE4,2026-07-28,NEFT CR RAZORPAYX SETTLEMENT SBIN63353574859532,2026-07-26 23:00:00,2026-07-28 14:00:00
setl_buG4gyWjNufHFD,KKBK41763425073305,processed,regular,1323615,1323615,1323615,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,4,1324600,835,150,1323615,0,0,,0,0,,,1,bnktxn_EJjYr9uFuM4Im0,2026-07-29,NEFT CR RAZORPAYX SETTLEMENT KKBK41763425073305,2026-07-27 23:00:00,2026-07-29 14:00:00
setl_66NZYXfekjvkH0,PUNB83750566186323,processed,on_demand,74615,74615,74615,0,MATCH,Financial records fully reconciled [adjustment INR 3.03 (fee_correction)],None (Fully Reconciled),0,2,74312,0,0,74312,0,0,,303,1,fee_correction,adj_OEXLVSeVo1Q76X,1,bnktxn_JXDyuPxm5ccCma,2026-07-30,NEFT CR RAZORPAYX SETTLEMENT PUNB83750566186323,2026-07-28 23:00:00,2026-07-30 18:00:00
setl_ZPm97MMhsUdV4m,KKBK84366044324006,processed,regular,1111649,1111649,1111649,0,MATCH,"Financial records fully reconciled [refund deduction INR 5,671.84]",None (Fully Reconciled),0,8,1687282,7160,1289,1678833,567184,1,rfnd_9kubhmLt6GSPJs,0,0,,,1,bnktxn_X6jCOyJkMCWug7,2026-07-30,NEFT CR RAZORPAYX SETTLEMENT KKBK84366044324006,2026-07-28 23:00:00,2026-07-30 10:00:00
setl_rDrmTMDskLiu9b,HDFC05875256806562,processed,regular,5741883,5741883,5741883,0,MATCH,"Financial records fully reconciled [refund deduction INR 14,973.96]",None (Fully Reconciled),0,8,7371058,111677,20102,7239279,1497396,1,rfnd_njasp9b2NE1CAJ,0,0,,,1,bnktxn_WcPsuKWKc4GdUT,2026-07-31,NEFT CR RAZORPAYX SETTLEMENT HDFC05875256806562,2026-07-29 23:00:00,2026-07-31 14:00:00
setl_TiFe7eijgHk8Tp,HDFC55516517680866,processed,regular,981913,981913,981913,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,5,1004547,19181,3453,981913,0,0,,0,0,,,1,bnktxn_f0nCkhW63qopdP,2026-08-01,NEFT CR RAZORPAYX SETTLEMENT HDFC55516517680866,2026-07-30 23:00:00,2026-08-01 11:00:00
setl_RJbdP1SoEccoWo,ICIC28556608470681,processed,regular,7467495,7467495,7467495,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,9,7634878,141850,25533,7467495,0,0,,0,0,,,1,bnktxn_cnoLFawSfL4xG5,2026-08-02,NEFT CR RAZORPAYX SETTLEMENT ICIC28556608470681,2026-07-31 23:00:00,2026-08-02 09:00:00
setl_SIGxAVzAKvtfpk,KKBK71506662670551,processed,on_demand,737555,737555,737555,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,1,737555,0,0,737555,0,0,,0,0,,,1,bnktxn_tpF4F79zLnzB2p,2026-08-02,NEFT CR RAZORPAYX SETTLEMENT KKBK71506662670551,2026-07-31 23:00:00,2026-08-02 12:00:00
setl_1kznjIa6OVNsrJ,SBIN86239453546147,processed,regular,4844165,4844165,4844165,0,MATCH,"Financial records fully reconciled [refund deduction INR 5,638.68]",None (Fully Reconciled),0,6,5441947,28741,5173,5408033,563868,1,rfnd_QF1S9BAdOg3Xr1,0,0,,,1,bnktxn_9PQGXznlhcyZgV,2026-08-03,NEFT CR RAZORPAYX SETTLEMENT SBIN86239453546147,2026-08-01 23:00:00,2026-08-03 09:00:00
setl_73nmWKVVt1SRn4,KKBK45703943804032,processed,regular,3302784,3302784,3302784,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,6,3308549,4885,880,3302784,0,0,,0,0,,,1,bnktxn_8UyUuDzMWk6FEJ,2026-08-04,NEFT CR RAZORPAYX SETTLEMENT KKBK45703943804032,2026-08-02 23:00:00,2026-08-04 14:00:00
setl_JEc732Eewvmt7G,ICIC01284008385076,processed,on_demand,91939,91939,91939,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,1,93878,1643,296,91939,0,0,,0,0,,,1,bnktxn_vZNDwNusxdZHLh,2026-08-04,NEFT CR RAZORPAYX SETTLEMENT ICIC01284008385076,2026-08-02 23:00:00,2026-08-04 12:00:00
setl_KwbQ7xPvAV1au3,UTIB12198819277885,processed,on_demand,3171812,3171812,3171812,0,MATCH,Financial records fully reconciled [adjustment INR -668.53 (chargeback)],None (Fully Reconciled),0,3,3260139,18199,3275,3238665,0,0,,-66853,1,chargeback,adj_NZcY1OuptI0Bsc,1,bnktxn_2gd8tQ9iSq0yjr,2026-08-04,NEFT CR RAZORPAYX SETTLEMENT UTIB12198819277885,2026-08-02 23:00:00,2026-08-04 10:00:00
setl_MsYQ28peNg4a2b,KKBK00404769210533,processed,regular,1016046,1016046,1016046,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,9,1033666,14933,2687,1016046,0,0,,0,0,,,1,bnktxn_xerAPbtXc5htjq,2026-08-05,NEFT CR RAZORPAYX SETTLEMENT KKBK00404769210533,2026-08-03 23:00:00,2026-08-05 15:00:00
setl_D774Z6nh6OV8RY,HDFC72011379844097,processed,regular,1599935,1599935,1599935,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,10,1618689,15893,2861,1599935,0,0,,0,0,,,1,bnktxn_jnezRybcFB1DAl,2026-08-06,NEFT CR RAZORPAYX SETTLEMENT HDFC72011379844097,2026-08-04 23:00:00,2026-08-06 10:00:00
setl_aK5cQe9X4rTsUE,ICIC40433700968730,processed,regular,3945949,3945949,3945949,0,MATCH,"Financial records fully reconciled [refund deduction INR 12,850.46]",None (Fully Reconciled),0,7,5337101,89920,16186,5230995,1285046,1,rfnd_knJX3JPuVzWwX0,0,0,,,1,bnktxn_MxD0EIkxQ5xUJI,2026-08-07,NEFT CR RAZORPAYX SETTLEMENT ICIC40433700968730,2026-08-05 23:00:00,2026-08-07 13:00:00
setl_juVOwAlLzxDwXs,ICIC78656194255778,processed,regular,5772513,5772513,5772513,0,MATCH,Financial records fully reconciled [2d timing difference],None (Fully Reconciled),2,7,5885131,95439,17179,5772513,0,0,,0,0,,,1,bnktxn_G63OjMvIO1Vk2Z,2026-08-10,NEFT CR RAZORPAYX SETTLEMENT ICIC78656194255778,2026-08-06 23:00:00,2026-08-08 11:00:00
setl_Ki0Yn0Szf0A4hG,KKBK08190482357155,processed,regular,1118560,1118560,1118560,0,MATCH,"Financial records fully reconciled [2d timing difference, refund deduction INR 711.21]",None (Fully Reconciled),2,4,1218248,24209,4358,1189681,71121,1,rfnd_BQ6bnKlbO8vgs6,0,0,,,1,bnktxn_oKwVASWgoOPDj1,2026-08-11,NEFT CR RAZORPAYX SETTLEMENT KKBK08190482357155,2026-08-07 23:00:00,2026-08-09 17:00:00
setl_fQDZ5vNUx2E99q,KKBK88558298493306,processed,on_demand,26709,26709,26709,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,1,26709,0,0,26709,0,0,,0,0,,,1,bnktxn_Erv8GtFUzd8LtZ,2026-08-09,NEFT CR RAZORPAYX SETTLEMENT KKBK88558298493306,2026-08-07 23:00:00,2026-08-09 12:00:00
setl_S5WmTa5YGZgFj6,HDFC43643813000413,processed,regular,3073118,3073118,3073118,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,4,3136363,53598,9647,3073118,0,0,,0,0,,,1,bnktxn_ReeqC8hB8wQzaS,2026-08-10,NEFT CR RAZORPAYX SETTLEMENT HDFC43643813000413,2026-08-08 23:00:00,2026-08-10 11:00:00
setl_70yvQTCUUOrjjW,ICIC19646300402369,processed,on_demand,149569,149569,149569,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,1,153185,3064,552,149569,0,0,,0,0,,,1,bnktxn_mAZ04jBJKq6nae,2026-08-10,NEFT CR RAZORPAYX SETTLEMENT ICIC19646300402369,2026-08-08 23:00:00,2026-08-10 12:00:00
setl_sulTf3i7HMM2gx,HDFC14551293913044,processed,on_demand,511793,511793,511228,-565,UNRESOLVED,"Bank amount discrepancy: expected INR 5,117.93, received INR 5,112.28 (variance: INR -5.65)",Audit: Investigate bank debit/credit variance with partner bank,0,2,512240,379,68,511793,0,0,,0,0,,,1,bnktxn_TJ7K3SIt6JQtg5,2026-08-11,NEFT CR RAZORPAYX SETTLEMENT HDFC14551293913044,2026-08-09 23:00:00,2026-08-11 17:00:00
setl_MtvyxntBNL6EON,KKBK07075504768169,processed,regular,605033,605033,605033,0,MATCH,"Financial records fully reconciled [2d timing difference, refund deduction INR 159.60]",None (Fully Reconciled),2,9,629002,6788,1221,620993,15960,1,rfnd_zi6yg29V044ZsN,0,0,,,1,bnktxn_byc9FW5fEqIffp,2026-08-13,NEFT CR RAZORPAYX SETTLEMENT KKBK07075504768169,2026-08-09 23:00:00,2026-08-11 18:00:00
setl_U1TO7gDyVvpMEc,SBIN48739610290871,processed,regular,2788331,2788331,2788331,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,9,2837495,41664,7500,2788331,0,0,,0,0,,,1,bnktxn_rSKyZ7IPUdqLhS,2026-08-12,NEFT CR RAZORPAYX SETTLEMENT SBIN48739610290871,2026-08-10 23:00:00,2026-08-12 17:00:00
setl_HFl5Cs2kcsMvBh,PUNB21377306260423,processed,regular,4594876,4594876,4594876,0,MATCH,Financial records fully reconciled [2d timing difference],None (Fully Reconciled),2,6,4685482,76785,13821,4594876,0,0,,0,0,,,1,bnktxn_oTCZS86hgkiiV8,2026-08-15,NEFT CR RAZORPAYX SETTLEMENT PUNB21377306260423,2026-08-11 23:00:00,2026-08-13 14:00:00
setl_MKbCFxYSBbTH5S,SBIN81670468611145,processed,regular,1882939,1882939,1882939,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,8,1905350,18992,3419,1882939,0,0,,0,0,,,1,bnktxn_6p674ihbkfKlQm,2026-08-14,NEFT CR RAZORPAYX SETTLEMENT SBIN81670468611145,2026-08-12 23:00:00,2026-08-14 16:00:00
